AccSpeciesID	AccSpeciesName	ObsNum	ObsGRNum	MeasNum	MeasGRNum	TraitNum
58	Abies mariesii	41	8	91	16	36
60	Abies nebrodensis	16		38		21
61	Abies nephrolepis	100	43	360	217	80
62	Abies nordmanniana	172	17	379	110	103
200050	Abies nordmanniana subsp. equi-trojani	11	6	13	6	6
402759	Abies nordmanniana subsp. nordmanniana	1		2		2
63	Abies numidica	29	2	93	11	34
65	Abies pindrow	27	4	64	15	35
66	Abies pinsapo	78	13	243	74	77
67	Abies procera	188	29	436	83	123
68	Abies recurvata	36	1	99	2	23
200053	Abies recurvata var. ernestii	1		2		2
69	Abies religiosa	45	4	121	34	43
70	Abies sachalinensis	786	723	7873	7543	85
402760	Abies sachalinensis var. gracilis	1		2		2
200054	Abies sachalinensis var. mayriana	2		3		2
71	Abies sibirica	4021	70	4428	272	48
102394	Abies smithii	3		22		10
72	Abies sp	19	6	52	12	25
73	Abies spectabilis	222	179	943	833	43
74	Abies squamata	26	1	55	1	23
75	Abies veitchii	164	30	569	224	60
402761	Abies veitchii var. sikokiana	1		2		2
402762	Abies veitchii var. veitchii	1		2		2
76	Abies vejarii	13		22		12
73162	Abies yuanbaoshanensis	10		29		14
73163	Abies ziyuanensis	9		33		19
271116	Abietinella abietina	1		1		1
402763	Abildgaardia chinensis	1		1		1
402764	Abildgaardia metalliphila	1		1		1
402765	Abildgaardia natalensis	1		1		1
200057	Abildgaardia papillosa	4		11		8
271118	Abildgaardia polygama	3		3		3
402766	Abildgaardia polystachya	1		1		1
402767	Abildgaardia sp	1		1		1
59303	Abiu caramuri	11	7	35	29	14
200059	ABIU CASCA GROSSA	5	5	20	20	3
102399	ABIU CUTITI	8	8	32	32	3
102400	ABIU PITOMBA	1	1	4	4	3
200060	ABIURANA	1	1	6	6	5
73165	Abobra tenuifolia	3		3		2
271119	Abolboda abbreviata	2		2		2
271120	Abolboda acaulis	2		2		2
271121	Abolboda acicularis	2		2		2
200061	Abolboda americana	6		8		3
271122	Abolboda bella	2		2		2
271123	Abolboda ciliata	2		2		2
271124	Abolboda dunstervillei	2		2		2
271125	Abolboda ebracteata	2		2		2
200062	Abolboda egleri	7		25		8
271126	Abolboda grandis	2		2		2
271127	Abolboda granularis	2		2		2
271128	Abolboda killipii	2		2		2
271129	Abolboda linearifolia	2		2		2
200063	Abolboda macrostachya	5		7		3
271130	Abolboda neblinae	2		2		2
271131	Abolboda paniculata	2		2		2
73166	Abolboda poarchon	9		27		9
200064	Abolboda pulchella	8		26		8
271132	Abolboda scabrida	2		2		2
271133	Abolboda sprucei	2		2		2
271134	Abolboda uniflora	2		2		2
402768	Abrahamia buxifolia	2		2		1
102402	Abrahamia deflexa	6		7		6
200065	Abrahamia ditimena	14		20		9
271135	Abrahamia grandidieri	3		3		2
271136	Abrahamia humbertii	3		3		2
402769	Abrahamia ibityensis	2		2		1
271137	Abrahamia latifolia	3		3		2
271138	Abrahamia lecomtei	3		3		2
271139	Abrahamia louvelii	3		3		2
402770	Abrahamia nitida	2		2		1
271140	Abrahamia oblongifolia	3		3		2
402771	Abrahamia pauciflora	2		2		1
200066	Abrahamia sericea	45		52		25
271141	Abrahamia thouvenotii	4		4		3
200067	Abrahamia viguieri	46		52		25
402772	Abrodictyum angustimarginatum	2		2		1
402773	Abrodictyum caudatum	5		8		4
271142	Abrodictyum cellulosum	12		14		3
402774	Abrodictyum clathratum	2		2		1
402775	Abrodictyum elongatum	7	1	14	5	7
402776	Abrodictyum guineense	3		3		2
402777	Abrodictyum obscurum	6	1	7	2	5
402778	Abrodictyum pluma	2		2		1
200069	Abrodictyum rigidum	3		3		2
271143	Abrodictyum sprucei	7		9		3
77	Abroma augusta	10		12		10
73167	Abroma augustum	2		4		2
402779	Abronia alba_x	1		1		1
200070	Abronia alpina	5		7		3
65061	Abronia ameliae	12		18		8
200071	Abronia ammophila	5		7		3
200072	Abronia angustifolia	8		10		3
200073	Abronia argillosa	5		7		3
73169	Abronia bigelovii	6		8		4
200074	Abronia bolackii	4		6		3
200077	Abronia elliptica	11	2	22	11	12
78	Abronia fragrans	26	3	69	36	31
200079	Abronia gracilis	11		16		5
200080	Abronia insularis	5		7		3
79	Abronia latifolia	19	1	59	22	30
200081	Abronia macrocarpa	5		7		3
80	Abronia maritima	20		48		17
200082	Abronia mellifera	5		7		3
402780	Abronia minor_x	5		7		3
200085	Abronia nana	12		15		5
271146	Abronia nana var. harrisii	1		1		1
402781	Abronia nana var. nana	1		1		1
200086	Abronia neurophylla	5		7		3
81	Abronia pogonantha	13		20		9
402782	Abronia sp	1		1		1
65062	Abronia turbinata	15		23		8
82	Abronia umbellata	36		71		15
402783	Abronia umbellata subsp. umbellata	1		1		1
83	Abronia villosa	35	3	77	28	22
200090	Abronia villosa var. aurita	8		9		4
402784	Abronia villosa var. villosa	6		7		3
84	Abrophyllum ornans	69	5	157	31	44
402785	Abrotanella caespitosa	3	3	3	3	3
271149	Abrotanella diemii	2		2		2
73171	Abrotanella emarginata	5		7		5
402786	Abrotanella forsterioides	1		2		2
402787	Abrotanella inconspicua	2	1	3	1	3
271150	Abrotanella linearifolia	2		2		2
73172	Abrotanella linearis	2		2		2
271151	Abrotanella nivigena	5		7		4
271152	Abrotanella purpurea	2		2		2
402788	Abrotanella scapigera	1		2		2
271153	Abrotanella submarginata	2		2		2
271154	Abrotanella trichoachaenia	2		2		2
271155	Abrotanella trilobata	2		2		2
271157	Abrothallus bryoriarum	1		1		1
271158	Abrothallus cetrariae	1		1		1
271159	Abrothallus cladoniae	1		1		1
271160	Abrothallus parmeliarum	2		2		1
271161	Abrothallus peyritschii	1		1		1
271162	Abrothallus prodiens	1		1		1
271163	Abrothallus welwitschii	1		1		1
402789	Abrus aureus	2		2		1
85	Abrus canescens	17		26		10
402790	Abrus diversifoliolatus	2		2		1
200092	Abrus fruticulosus	7		15		6
271164	Abrus gawenensis	1		1		1
65063	Abrus laevigatus	13		16		8
402791	Abrus madagascariensis	3		4		3
402792	Abrus melanospermus subsp. tenuiflorus	3		6		2
402793	Abrus parvifolius	2		2		1
86	Abrus precatorius	159	43	336	151	46
200093	Abrus precatorius subsp. africanus	10		18		3
87	Abrus pulchellus	64		86		28
200095	Abrus pulchellus subsp. tenuiflorus	4		4		1
402794	Abrus sambiranensis	3		4		3
271166	Abrus schimperi	4		7		6
200096	Abrus schimperi subsp. africanus	7		12		3
200097	Abrus schimperi subsp. oblongus	7		8		2
88	Abrus sp	19	12	55	31	13
271167	Absconditella sphagnorum	1		1		1
271168	Absconditella trivialis	1		1		1
200100	Abuta antioquiana	9		11		1
402795	Abuta aristeguietae	3		3		1
402796	Abuta barbata	2		2		1
271169	Abuta brevifolia	4		4		1
200101	Abuta bullata	4		6		1
200102	Abuta candollei	6	1	10	3	4
200103	Abuta chiapasensis	16		18		1
200104	Abuta chocoensis	4		6		1
271170	Abuta colombiana	4		4		1
402797	Abuta convexa	3		5		1
271171	Abuta dwyeriana	9		9		1
271172	Abuta fluminum	13		13		1
402798	Abuta grandiflora	2		2		1
89	Abuta grandifolia	418	54	630	226	57
90	Abuta grisebachii	24		30		6
91	Abuta imene	46	6	71	25	11
200105	Abuta longa	2		4		1
200106	Abuta mycetandra	15		19		1
92	Abuta pahni	48		54		5
93	Abuta panamensis	94	11	170	77	34
73173	Abuta panurensis	54	2	223	8	13
94	Abuta racemosa	67	16	238	178	39
95	Abuta rufescens	135	33	393	248	57
73174	Abuta sandwithiana	17	4	29	16	4
271173	Abuta seemannii	1		1		1
200109	Abuta selloana	7	3	36	30	10
96	Abuta solimoesensis	25	1	34	4	6
402799	Abuta soukupii	2		2		1
