rowID,accepted_bin,family,spp,where,LAT,LON,nFix,dispersal,Fruit type,Selection,Bark thickness,Conduit diameter,Crown diameter,Crown height,Leaf area,Leaf density,Leaf K,Leaf N,Leaf P,Leaf thickness,Leaf Vcmax,Root depth,Seed dry mass,Specific leaf area,Stem diameter,Stomatal conductance,Tree height,Wood density
34,Garcinia intermedia,Clusiaceae,GARINT,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.3924,-0.5897,-0.8566,0.2184,-0.4061,-0.6346,-1.6919,-1.2867,-1.7099,1.736,-0.4875,-0.4995,-1.6944,-1.6209,0.5195,-0.0304,0.1494,1.0446
35,Gordonia fruticosa,Theaceae,GORFRU,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.0461,-2.3513,-1.6457,-1.1032,-1.5493,0.7872,-0.9474,-2.1499,-2.4044,2.1437,-2.9021,-1.6443,-0.3034,-2.6887,0.7446,-1.055,-1.1949,0.7604
36,Guarea glabra,Meliaceae,GUAGLA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.0765,-0.8043,-1.0224,-1.0136,1.5859,-0.654,0.4054,0.0511,1.102,-0.1651,-0.2853,1.0704,-0.0528,0.186,0.4864,-0.656,0.4958,0.5101
37,Guazuma ulmifolia,Malvaceae,GUAULM,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,1.3114,0.4424,-0.9334,-1.3305,-0.4201,0.4856,0.6431,-0.51,0.1664,0.0121,0.265,-0.4995,0.5615,0.7251,-0.3017,-1.0314,-1.1949,-0.6499
38,Hampea appendiculata,Malvaceae,HAMAPP,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,2.281,0.4167,0.8894,0.3315,1.2296,-1.0151,0.6836,0.2623,1.169,-0.4177,1.1444,-1.0731,0.3412,0.8985,0.7446,0.8532,1.1997,-2.2892
39,Handroanthus guayacan,Bignoniaceae,HANGUA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.987,-0.6228,-0.2864,-1.6507,0.9425,-1.6246,1.6171,0.2033,0.946,-0.1388,1.2959,-1.0631,-2.0187,0.312,1.3516,1.263,0.4958,0.1575
40,Handroanthus impetiginosus,Bignoniaceae,HANIMP,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.9492,-0.6267,-0.2864,-1.7123,0.9229,-1.6122,1.667,0.1999,0.9816,-0.1569,1.2784,-1.0631,-2.0523,0.2945,1.3516,1.2967,0.4958,0.1229
41,Handroanthus ochraceus,Bignoniaceae,HANOCH,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.9184,-0.5297,0.0922,-1.7185,1.0314,-1.468,1.7069,0.2887,1.039,-0.3242,1.4373,-1.4177,-2.3619,0.1967,0.9969,1.2734,0.4958,-0.2717
42,Heliocarpus appendiculatus,Malvaceae,HELAPP,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Other,Wind,Yes,1.9169,0.5797,-0.9761,-1.5049,-0.2853,0.4895,0.8262,-0.1339,1.0074,-0.1883,0.6345,1.0704,0.696,1.3867,-0.3017,-0.9998,-1.1949,-2.004
43,Hymenaea courbaril,Leguminosae,HYMCOU,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.4607,0.7084,0.2923,-0.2972,-0.6068,2.2751,-0.5784,-0.5011,-0.46,-0.8447,0.4702,0.4619,1.1407,0.347,-0.2314,-0.656,0.4958,1.858
44,Inga densiflora,Leguminosae,INGDEN,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.2285,0.7633,1.1308,1.0614,0.8003,-0.6962,-0.2812,1.2069,0.329,-1.1697,0.1598,-0.4714,0.7935,0.2356,-0.239,0.917,-0.4812,-0.0105
45,Inga edulis,Leguminosae,INGEDU,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,Yes,-0.1146,0.7752,1.1308,1.0614,0.8544,-0.7254,-0.1246,1.3729,0.3945,-0.8025,0.2384,0.5018,0.8826,0.1988,-0.0475,0.7328,0.1011,-0.6251
46,Inga edulis,Leguminosae,INGEDU,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.8955,1.4911,1.02,-0.2972,-0.9133,1.6389,0.052,1.3648,-0.0104,-0.9132,0.0049,0.8717,1.1082,0.1281,-1.7512,-0.8391,-0.4812,-0.0403
48,Inga punctata,Leguminosae,INGPUN,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (fleshy fruit),Fleshy fruit,Yes,-0.3068,0.7543,1.1308,1.0614,0.9296,-0.4593,-0.5609,1.2988,0.239,-0.4194,0.171,0.7954,0.8094,-0.0674,-0.0475,0.5876,0.1011,-0.7004
49,Inga punctata,Leguminosae,INGPUN,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.784,1.4831,1.02,-0.2972,-0.9597,1.5272,-0.2394,1.3314,-0.2405,-0.5544,0.0259,1.0704,1.1102,-0.2831,-1.4429,-0.959,-0.6372,-0.169
