where,LAT,LON,raw_name,Genus,species,spp,nFix,dispersal,Fruit type,Wood density,Root depth,Root/shoot ratio,Leaf N per mass,Leaf P per mass,Stem diameter,Bark thickness,Seed dry mass,"Leaf resp. rate, per mass",Leaf K per mass,Stomatal conductance,Leaf thickness,Leaf density,Leaf N:P,Root N per mass,Leaf length,Leaf width,Leaf C/N,Leaf Vcmax per dry mass,Leaf Jmax per dry mass,Stem conduit diameter,Crown diameter,Leaf chlorophyll,Crown height,Root C/N,Wood N per mass,Tree height,Leaf area,Specific leaf area,Leaf water per mass
LG,8.700634,-83.203632,Inga punctata,Inga,punctata,Ingpun,nFix,animal_fleshy,Fleshy fruit,-0.671376,1.974081,-1.022838,3.42379,0.099563,-1.023701,1.219664,3.92266,-4.143924,1.925773,5.308619,-1.369976,-1.116207,3.201157,2.382022,4.381481,1.394035,2.735049,-0.802861,-0.129467,3.852575,2.476538,-0.838966,2.451087,3.922752,1.784683,2.833213,9.246235,2.538555,0.299778
LG,8.700634,-83.203632,Inga ruiziana,Inga,ruiziana,Ingrui,nFix,animal_fleshy,Fleshy fruit,-0.581211,1.981001,-1.018231,3.423026,0.137408,-1.035637,1.038269,3.983564,-4.154496,1.911352,5.299117,-1.587055,-1.092325,3.234867,2.373442,4.394984,1.436628,2.732823,-0.822001,-0.099782,3.800577,2.524158,-0.822754,2.442347,3.931417,1.776496,2.809403,9.156249,2.595967,0.32298
LG,8.700634,-83.203632,Inga vera,Inga,vera,Ingver,nFix,animal_fleshy,Fleshy fruit,-0.584817,1.807633,-1.0087,3.414041,0.103236,-1.035637,1.200034,4.137295,-4.162562,1.928853,5.299372,-1.49638,-1.124062,3.205105,2.37706,4.346405,1.40103,2.781979,-0.796688,-0.13342,3.82846,2.524158,-0.823684,2.603428,3.924384,1.791283,2.980619,9.444646,2.547954,0.359652
LG,8.700634,-83.203632,Jacaranda copaia,Jacaranda,copaia,Jaccop,non-fixer,other,Wind,-0.79546,1.609438,-0.755317,2.965171,0.023723,-1.125785,1.173331,2.677353,-4.224178,2.377372,5.289236,-1.408069,-1.186336,3.100746,2.166555,4.574813,1.512169,3.025208,-0.790952,-0.024828,3.712006,2.208033,-0.873954,2.209367,3.875465,1.703491,2.995732,9.005365,2.545312,0.661356
LG,8.700634,-83.203632,Lecythis mesophyla,Lecythis,mesophylla,Lecmes,non-fixer,animal,Animal,-0.50145,1.648659,-0.801303,2.924751,-0.089654,-1.113684,1.128785,3.465597,-4.682886,2.268126,5.025284,-1.469521,-1.126545,3.143418,2.209569,4.434818,1.467093,3.118024,-1.073687,-0.123518,3.447182,2.381087,-0.895853,2.515198,3.845799,1.563944,2.995732,8.367366,2.543984,0.661266
LG,8.700634,-83.203632,Minquartia guianensis,Minquartia,guianensis,Mingui,non-fixer,animal_fleshy,Fleshy fruit,-0.502265,1.648659,-0.799026,2.932231,-0.091649,-1.174791,1.210452,3.354835,-4.524514,2.197371,5.282189,-1.494633,-1.107325,2.955329,2.109029,4.452096,1.381452,3.103977,-0.958113,-0.086854,3.781631,2.333114,-0.880584,2.243851,3.89425,1.666313,2.880533,8.43023,2.504504,0.485052
LG,8.700634,-83.203632,Ocotea insularis,Ocotea,insularis,Ocoins,non-fixer,animal_fleshy,Fleshy fruit,-0.852585,1.871802,-0.855963,3.010528,-0.124079,-1.47841,1.313912,3.642074,-4.791633,2.288342,5.125181,-1.271156,-1.10236,3.036071,2.080088,4.547799,1.487101,3.130346,-1.004107,-0.237123,3.433842,2.194028,-0.85602,2.29937,4.084374,1.460356,2.70805,8.292337,2.434676,0.498841
LG,8.700634,-83.203632,Paramachaerium gruberi,Paramachaerium,gruberi,Pargru,nFix,other,Other,-0.428849,1.807633,-1.020303,3.291788,0.299821,-0.865122,1.222241,4.431125,-4.014155,2.147725,5.218207,-1.649827,-1.104876,3.001755,2.301827,4.396681,1.387507,2.77724,-0.72641,-0.060601,3.817994,2.639057,-0.868,2.639057,3.853166,1.887987,3.295837,8.904363,2.699329,0.491195
LG,8.700634,-83.203632,Parkia pendula,Parkia,pendula,Parpen,nFix,animal_fleshy,Fleshy fruit,-0.53812,1.609438,-0.975066,3.367655,0.122338,-0.729887,1.161334,3.972728,-4.121561,1.950524,5.30875,-1.723341,-1.002678,3.151005,2.37324,4.139375,1.286786,2.848093,-0.761772,-0.050021,3.829955,2.524158,-0.883352,2.558,3.914757,1.74095,3.193255,9.11779,2.574828,0.359419
LG,8.700634,-83.203632,Peltogyne purpurea,Peltogyne,purpurea,Pelpur,nFix,other,Other,-0.451148,1.648659,-1.007933,2.981436,-0.151784,-0.736169,1.223194,4.459129,-4.332171,1.938269,5.197567,-1.687055,-1.041793,2.84933,2.247701,4.37682,1.441339,3.207193,-0.809446,-0.256608,3.771502,2.616436,-0.836019,2.506237,3.875483,1.793315,3.401373,8.90159,2.487633,0.425828
